id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,243.9,0.0,257.8
1,security_studies,D,D,1,logprob,259,407.5,0.0,414.8
2,professional_law,B,A,0,logprob,174,315.9,0.0,321.8
3,international_law,C,C,1,logprob,93,189.1,0.0,199.7
4,professional_medicine,A,A,1,logprob,200,357.9,0.0,365.8
5,high_school_physics,D,C,0,logprob,98,185.3,0.0,190.3
6,virology,A,D,0,logprob,86,185.6,0.0,192.0
7,miscellaneous,B,B,1,logprob,96,190.1,0.0,197.0
8,professional_law,D,B,0,logprob,233,405.9,0.0,413.3
9,high_school_biology,C,C,1,logprob,71,185.1,0.0,196.1
10,us_foreign_policy,B,B,1,logprob,96,187.4,0.0,194.3
11,machine_learning,C,C,1,logprob,99,185.8,0.0,193.4
12,clinical_knowledge,C,C,1,logprob,78,182.8,0.0,187.2
13,professional_law,A,A,1,logprob,420,635.7,0.0,644.0
14,high_school_geography,B,B,1,logprob,84,188.6,0.0,201.0
15,business_ethics,C,B,0,logprob,90,191.0,0.0,201.5
16,high_school_physics,C,B,0,logprob,93,191.3,0.0,201.4
17,anatomy,B,B,1,logprob,95,189.3,0.0,198.5
18,medical_genetics,C,C,1,logprob,99,186.8,0.0,193.2
19,moral_scenarios,B,C,0,logprob,131,230.1,0.0,234.3
20,machine_learning,B,B,1,logprob,57,139.6,0.0,143.7
21,high_school_us_history,D,D,1,logprob,378,587.2,0.0,594.7
22,formal_logic,D,A,0,logprob,98,188.4,0.0,200.1
23,high_school_us_history,A,A,1,logprob,238,407.7,0.0,417.5
24,high_school_european_history,C,C,1,logprob,211,365.2,0.0,377.5
25,college_biology,C,C,1,logprob,109,232.1,0.0,243.7
26,virology,B,A,0,logprob,78,185.9,0.0,195.7
27,high_school_psychology,A,A,1,logprob,208,363.3,0.0,373.3
28,elementary_mathematics,B,C,0,generated,93,188.5,0.0,198.5
29,prehistory,B,B,1,logprob,91,189.3,0.0,198.9
30,miscellaneous,B,B,1,logprob,57,143.8,0.0,154.0
31,moral_scenarios,C,C,1,logprob,139,270.3,0.0,277.3
32,anatomy,B,C,0,logprob,109,226.8,0.0,231.2
