id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,270.0,0.0,279.4
1,security_studies,D,D,1,logprob,259,477.9,0.0,486.0
2,professional_law,B,A,0,logprob,174,370.5,0.0,375.2
3,international_law,C,C,1,logprob,93,219.1,0.0,223.2
4,professional_medicine,A,B,0,logprob,200,423.3,0.0,430.3
5,high_school_physics,D,B,0,logprob,98,220.8,0.0,226.6
6,virology,A,D,0,logprob,86,221.8,0.0,230.1
7,miscellaneous,B,B,1,logprob,96,219.9,0.0,228.2
8,professional_law,D,B,0,logprob,233,523.2,0.0,531.7
9,high_school_biology,C,C,1,logprob,71,243.6,0.0,252.7
10,us_foreign_policy,B,B,1,logprob,96,240.3,0.0,249.2
11,machine_learning,C,C,1,logprob,99,244.3,0.0,249.1
12,clinical_knowledge,C,C,1,logprob,78,256.0,0.0,263.3
13,professional_law,A,D,0,logprob,420,1113.9,0.0,1124.4
14,high_school_geography,B,B,1,logprob,84,328.5,0.0,338.4
15,business_ethics,C,B,0,logprob,90,321.6,0.0,328.8
16,high_school_physics,C,B,0,logprob,93,315.5,0.0,321.7
17,anatomy,B,B,1,logprob,95,302.2,0.0,308.9
18,medical_genetics,C,C,1,logprob,99,299.6,0.0,305.0
19,moral_scenarios,B,C,0,logprob,131,371.4,0.0,378.6
20,machine_learning,B,B,1,logprob,57,224.1,0.0,232.0
21,high_school_us_history,D,D,1,logprob,378,972.2,0.0,981.8
22,formal_logic,D,D,1,logprob,98,301.8,0.0,311.0
23,high_school_us_history,A,A,1,logprob,238,666.0,0.0,674.7
24,high_school_european_history,C,C,1,logprob,211,582.5,0.0,588.4
25,college_biology,C,C,1,logprob,109,364.5,0.0,373.0
26,virology,B,A,0,logprob,78,285.0,0.0,292.9
27,high_school_psychology,A,A,1,logprob,208,569.1,0.0,576.1
28,elementary_mathematics,B,B,1,logprob,93,296.2,0.0,304.6
29,prehistory,B,B,1,logprob,91,287.1,0.0,295.2
30,miscellaneous,B,B,1,logprob,57,212.4,0.0,219.3
31,moral_scenarios,C,B,0,logprob,139,431.2,0.0,438.6
32,anatomy,B,B,1,logprob,109,356.1,0.0,361.9
33,professional_psychology,B,C,0,logprob,61,222.6,0.0,228.8
34,high_school_statistics,D,B,0,logprob,198,569.4,0.0,578.4
35,philosophy,A,B,0,logprob,90,296.1,0.0,302.5
36,professional_law,C,A,0,logprob,423,1213.8,0.0,1223.1
37,professional_accounting,C,B,0,logprob,87,308.5,0.0,317.6
38,high_school_psychology,B,B,1,logprob,158,435.6,0.0,441.2
39,high_school_us_history,A,A,1,logprob,320,804.6,0.0,812.9
40,astronomy,D,B,0,logprob,95,298.5,0.0,307.7
41,professional_medicine,B,D,0,logprob,102,353.3,0.0,361.5
42,professional_medicine,D,D,1,logprob,416,1144.9,0.0,1152.5
43,moral_scenarios,D,C,0,logprob,143,500.1,0.0,506.7
44,professional_psychology,C,C,1,logprob,94,328.8,0.0,334.1
45,philosophy,D,D,1,logprob,82,334.6,0.0,338.4
46,miscellaneous,C,C,1,logprob,59,261.6,0.0,265.5
47,moral_scenarios,C,C,1,logprob,129,463.5,0.0,467.7
48,nutrition,C,C,1,logprob,63,302.3,0.0,307.0
49,conceptual_physics,C,A,0,logprob,92,428.3,0.0,432.8
50,high_school_geography,D,D,1,logprob,84,601.3,0.0,607.8
51,philosophy,D,B,0,logprob,98,659.9,0.0,667.9
52,high_school_world_history,B,B,1,logprob,344,1570.3,0.0,1578.2
53,miscellaneous,A,B,0,logprob,60,314.0,0.0,322.1
54,high_school_physics,A,D,0,logprob,231,1218.4,0.0,1229.5
55,high_school_macroeconomics,D,A,0,logprob,105,571.1,0.0,596.8
56,electrical_engineering,D,A,0,logprob,83,457.1,0.0,470.0
57,sociology,C,C,1,logprob,110,479.0,0.0,490.2
58,high_school_mathematics,D,B,0,logprob,64,319.3,0.0,329.7
59,clinical_knowledge,A,A,1,logprob,78,381.2,0.0,402.4
60,high_school_biology,A,A,1,logprob,85,369.1,0.0,384.9
61,high_school_macroeconomics,B,C,0,logprob,79,351.0,0.0,366.3
62,college_biology,D,D,1,logprob,130,452.5,0.0,473.8
63,marketing,C,C,1,logprob,85,360.9,0.0,374.7
64,moral_disputes,D,A,0,logprob,119,541.1,0.0,570.4
65,moral_scenarios,B,B,1,logprob,132,552.2,0.0,614.9
66,philosophy,D,D,1,logprob,78,437.1,0.0,454.6
67,moral_scenarios,B,B,1,logprob,129,598.2,0.0,610.2
68,college_mathematics,B,A,0,logprob,138,659.5,0.0,682.0
