id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,292.2,0.0,620.4
1,security_studies,D,D,1,logprob,259,472.3,0.0,620.4
2,professional_law,B,B,1,logprob,174,349.1,0.0,620.4
3,international_law,C,C,1,logprob,93,275.8,0.0,620.4
4,professional_medicine,A,B,0,logprob,200,432.5,0.0,620.4
5,high_school_physics,D,B,0,logprob,98,272.9,0.0,620.4
6,virology,A,D,0,logprob,86,287.9,0.0,620.4
7,miscellaneous,B,B,1,logprob,96,282.1,0.0,620.4
8,professional_law,D,D,1,logprob,233,500.5,0.0,620.4
9,high_school_biology,C,C,1,logprob,71,293.3,0.0,620.4
10,us_foreign_policy,B,B,1,logprob,96,327.2,0.0,620.4
11,machine_learning,C,C,1,logprob,99,330.9,0.0,620.4
12,clinical_knowledge,C,C,1,logprob,78,305.8,0.0,620.4
13,professional_law,A,D,0,logprob,420,918.3,0.0,620.4
14,high_school_geography,B,B,1,logprob,84,351.3,0.0,620.4
15,business_ethics,C,B,0,logprob,90,364.8,0.0,620.4
16,high_school_physics,C,B,0,logprob,93,423.5,0.0,620.4
17,anatomy,B,B,1,logprob,95,404.6,0.0,620.4
18,medical_genetics,C,C,1,logprob,99,453.6,0.0,620.4
19,moral_scenarios,B,C,0,logprob,131,484.9,0.0,620.4
20,machine_learning,B,B,1,logprob,57,357.1,0.0,620.4
21,high_school_us_history,D,D,1,logprob,378,1093.0,0.0,620.4
22,formal_logic,D,D,1,logprob,98,443.0,0.0,620.4
23,high_school_us_history,A,A,1,logprob,238,755.0,0.0,620.4
24,high_school_european_history,C,C,1,logprob,211,706.0,0.0,620.4
25,college_biology,C,C,1,logprob,109,479.5,0.0,620.4
26,virology,B,B,1,logprob,78,418.1,0.0,620.4
27,high_school_psychology,A,A,1,logprob,208,700.2,0.0,620.4
28,elementary_mathematics,B,,0,none,93,435.1,0.0,620.4
29,prehistory,B,B,1,logprob,91,445.5,0.0,620.4
30,miscellaneous,B,B,1,logprob,57,391.1,0.0,620.4
31,moral_scenarios,C,C,1,logprob,139,581.1,0.0,620.4
32,anatomy,B,C,0,logprob,109,492.8,0.0,620.4
33,professional_psychology,B,C,0,logprob,61,397.2,0.0,620.4
34,high_school_statistics,D,A,0,logprob,198,738.3,0.0,620.4
35,philosophy,A,B,0,logprob,90,481.6,0.0,620.4
36,professional_law,C,A,0,logprob,423,1291.7,0.0,620.4
37,professional_accounting,C,B,0,logprob,87,471.1,0.0,620.4
38,high_school_psychology,B,B,1,logprob,158,593.0,0.0,620.4
39,high_school_us_history,A,A,1,logprob,320,955.7,0.0,620.4
40,astronomy,D,B,0,logprob,95,483.6,0.0,620.4
41,professional_medicine,B,D,0,logprob,102,478.1,0.0,620.4
42,professional_medicine,D,D,1,logprob,416,1246.2,0.0,620.4
43,moral_scenarios,D,C,0,logprob,143,581.7,0.0,620.4
44,professional_psychology,C,C,1,logprob,94,468.4,0.0,620.4
45,philosophy,D,D,1,logprob,82,441.4,0.0,620.4
46,miscellaneous,C,C,1,logprob,59,401.7,0.0,620.4
47,moral_scenarios,C,C,1,logprob,129,522.1,0.0,620.4
48,nutrition,C,C,1,logprob,63,392.1,0.0,620.4
49,conceptual_physics,C,A,0,logprob,92,468.2,0.0,620.4
50,high_school_geography,D,D,1,logprob,84,280.7,0.0,578.9
51,philosophy,D,B,0,logprob,98,275.2,0.0,578.9
52,high_school_world_history,B,B,1,logprob,344,622.3,0.0,578.9
53,miscellaneous,A,C,0,logprob,60,240.0,0.0,578.9
54,high_school_physics,A,D,0,logprob,231,475.8,0.0,578.9
55,high_school_macroeconomics,D,A,0,logprob,105,291.2,0.0,578.9
56,electrical_engineering,D,C,0,logprob,83,270.0,0.0,578.9
57,sociology,C,C,1,logprob,110,330.0,0.0,578.9
58,high_school_mathematics,D,B,0,logprob,64,265.6,0.0,578.9
59,clinical_knowledge,A,A,1,logprob,78,312.7,0.0,578.9
60,high_school_biology,A,A,1,logprob,85,301.6,0.0,578.9
61,high_school_macroeconomics,B,C,0,logprob,79,315.7,0.0,578.9
62,college_biology,D,D,1,logprob,130,396.0,0.0,578.9
63,marketing,C,C,1,logprob,85,343.9,0.0,578.9
64,moral_disputes,D,A,0,logprob,119,400.6,0.0,578.9
65,moral_scenarios,B,C,0,logprob,132,416.6,0.0,578.9
66,philosophy,D,D,1,logprob,78,370.6,0.0,578.9
67,moral_scenarios,B,A,0,logprob,129,426.8,0.0,578.9
68,college_mathematics,B,A,0,logprob,138,525.5,0.0,578.9
69,elementary_mathematics,A,A,1,logprob,123,472.6,0.0,578.9
70,prehistory,D,B,0,logprob,69,449.0,0.0,578.9
71,professional_medicine,A,A,1,logprob,358,1102.6,0.0,578.9
72,professional_psychology,C,C,1,logprob,93,468.7,0.0,578.9
73,conceptual_physics,B,B,1,logprob,61,381.2,0.0,578.9
74,moral_scenarios,D,C,0,logprob,142,588.0,0.0,578.9
75,high_school_government_and_politics,B,B,1,logprob,78,444.1,0.0,578.9
76,professional_accounting,B,B,1,logprob,114,486.9,0.0,578.9
77,professional_psychology,D,D,1,logprob,78,469.7,0.0,578.9
78,formal_logic,C,B,0,logprob,103,501.4,0.0,578.9
79,professional_psychology,A,A,1,logprob,73,446.1,0.0,578.9
80,human_aging,A,D,0,logprob,75,468.2,0.0,578.9
81,logical_fallacies,B,B,1,logprob,157,623.1,0.0,578.9
82,moral_scenarios,C,C,1,logprob,126,510.4,0.0,578.9
83,high_school_government_and_politics,B,D,0,logprob,108,472.3,0.0,578.9
84,miscellaneous,A,A,1,logprob,58,369.5,0.0,578.9
85,professional_accounting,D,C,0,logprob,151,604.3,0.0,578.9
86,elementary_mathematics,B,A,0,logprob,112,483.1,0.0,578.9
87,conceptual_physics,A,B,0,logprob,58,371.0,0.0,578.9
88,high_school_mathematics,C,B,0,logprob,93,438.0,0.0,578.9
89,high_school_geography,B,B,1,logprob,88,447.8,0.0,578.9
90,machine_learning,C,B,0,logprob,153,613.5,0.0,578.9
91,conceptual_physics,A,B,0,logprob,76,431.4,0.0,578.9
92,human_sexuality,D,D,1,logprob,157,603.2,0.0,578.9
93,sociology,D,D,1,logprob,119,480.6,0.0,578.9
94,professional_law,C,D,0,logprob,353,1010.8,0.0,578.9
95,conceptual_physics,A,C,0,logprob,77,428.5,0.0,578.9
96,high_school_government_and_politics,A,A,1,logprob,101,484.5,0.0,578.9
97,computer_security,A,A,1,logprob,60,391.3,0.0,578.9
98,moral_scenarios,A,C,0,logprob,129,516.1,0.0,578.9
99,moral_scenarios,C,C,1,logprob,131,521.7,0.0,578.9
100,global_facts,B,C,0,logprob,83,280.0,0.0,598.6
101,computer_security,D,D,1,logprob,66,237.0,0.0,598.6
102,conceptual_physics,B,C,0,logprob,68,247.2,0.0,598.6
103,public_relations,C,C,1,logprob,126,307.6,0.0,598.6
104,moral_disputes,A,B,0,logprob,120,302.2,0.0,598.6
105,clinical_knowledge,C,C,1,logprob,72,250.4,0.0,598.6
106,computer_security,C,C,1,logprob,86,295.0,0.0,598.6
107,professional_accounting,D,B,0,logprob,158,387.7,0.0,598.6
108,high_school_psychology,D,D,1,logprob,107,288.8,0.0,598.6
109,high_school_mathematics,D,B,0,logprob,72,276.7,0.0,598.6
110,moral_scenarios,D,C,0,logprob,140,367.3,0.0,598.6
111,professional_psychology,B,A,0,logprob,137,387.3,0.0,598.6
112,clinical_knowledge,C,C,1,logprob,80,328.5,0.0,598.6
113,miscellaneous,D,D,1,logprob,76,327.7,0.0,598.6
114,high_school_us_history,C,C,1,logprob,394,893.0,0.0,598.6
115,moral_scenarios,D,C,0,logprob,133,408.5,0.0,598.6
116,professional_law,C,C,1,logprob,166,496.8,0.0,598.6
117,anatomy,D,B,0,logprob,78,365.0,0.0,598.6
118,philosophy,A,D,0,logprob,89,420.2,0.0,598.6
119,high_school_psychology,A,A,1,logprob,86,438.3,0.0,598.6
120,high_school_geography,B,B,1,logprob,75,429.1,0.0,598.6
121,international_law,B,D,0,logprob,132,546.7,0.0,598.6
122,human_aging,B,B,1,logprob,59,398.7,0.0,598.6
123,moral_scenarios,D,C,0,logprob,143,533.9,0.0,598.6
124,elementary_mathematics,A,B,0,logprob,129,481.0,0.0,598.6
125,high_school_microeconomics,D,C,0,logprob,92,481.9,0.0,598.6
126,computer_security,C,B,0,logprob,255,830.4,0.0,598.6
127,professional_law,B,B,1,logprob,257,832.3,0.0,598.6
128,global_facts,A,B,0,logprob,86,460.1,0.0,598.6
129,philosophy,C,C,1,logprob,81,453.1,0.0,598.6
130,high_school_psychology,A,A,1,logprob,80,456.5,0.0,598.6
131,moral_scenarios,B,B,1,logprob,158,615.7,0.0,598.6
132,us_foreign_policy,B,B,1,logprob,95,461.0,0.0,598.6
133,professional_psychology,C,A,0,logprob,78,425.1,0.0,598.6
134,high_school_biology,B,B,1,logprob,117,547.7,0.0,598.6
135,prehistory,C,B,0,logprob,68,378.0,0.0,598.6
136,high_school_physics,B,B,1,logprob,121,469.7,0.0,598.6
137,professional_law,D,D,1,logprob,262,852.7,0.0,598.6
138,philosophy,D,D,1,logprob,75,449.2,0.0,598.6
139,us_foreign_policy,C,C,1,logprob,77,415.8,0.0,598.6
140,conceptual_physics,C,C,1,logprob,64,373.6,0.0,598.6
141,professional_law,C,C,1,logprob,241,806.3,0.0,598.6
142,high_school_european_history,C,C,1,logprob,378,1123.9,0.0,598.6
143,high_school_world_history,A,B,0,logprob,336,1048.0,0.0,598.6
144,professional_psychology,A,A,1,logprob,68,401.7,0.0,598.6
145,astronomy,A,A,1,logprob,119,511.6,0.0,598.6
146,sociology,D,D,1,logprob,96,482.5,0.0,598.6
147,world_religions,C,C,1,logprob,66,391.5,0.0,598.6
148,moral_scenarios,D,C,0,logprob,132,520.9,0.0,598.6
149,formal_logic,C,C,1,logprob,120,512.8,0.0,598.6
150,college_chemistry,B,B,1,logprob,120,323.2,0.0,654.6
151,college_mathematics,D,B,0,logprob,134,333.9,0.0,654.6
152,professional_law,C,C,1,logprob,550,1027.3,0.0,654.6
153,high_school_government_and_politics,D,D,1,logprob,123,306.9,0.0,654.6
154,high_school_physics,D,D,1,logprob,118,322.5,0.0,654.6
155,moral_disputes,C,B,0,logprob,93,289.9,0.0,654.6
156,high_school_european_history,C,C,1,logprob,482,929.9,0.0,654.6
157,professional_law,B,D,0,logprob,334,727.7,0.0,654.6
158,professional_law,C,C,1,logprob,292,650.7,0.0,654.6
159,abstract_algebra,C,B,0,logprob,74,345.9,0.0,654.6
160,sociology,C,C,1,logprob,111,387.1,0.0,654.6
161,electrical_engineering,D,A,0,logprob,65,339.7,0.0,654.6
162,moral_disputes,B,C,0,logprob,98,389.8,0.0,654.6
163,moral_disputes,B,B,1,logprob,106,443.3,0.0,654.6
164,high_school_macroeconomics,A,D,0,logprob,129,467.7,0.0,654.6
165,professional_psychology,D,A,0,logprob,119,505.7,0.0,654.6
166,high_school_psychology,A,A,1,logprob,112,484.4,0.0,654.6
167,moral_scenarios,A,C,0,logprob,137,585.9,0.0,654.6
168,miscellaneous,D,D,1,logprob,65,398.1,0.0,654.6
169,high_school_government_and_politics,A,B,0,logprob,114,489.6,0.0,654.6
170,security_studies,C,C,1,logprob,128,509.6,0.0,654.6
171,high_school_macroeconomics,D,C,0,logprob,94,461.9,0.0,654.6
172,professional_law,A,B,0,logprob,288,916.8,0.0,654.6
173,virology,B,D,0,logprob,74,442.1,0.0,654.6
174,sociology,A,A,1,logprob,95,471.4,0.0,654.6
175,moral_disputes,D,D,1,logprob,65,388.4,0.0,654.6
176,prehistory,C,C,1,logprob,91,474.3,0.0,654.6
177,astronomy,A,A,1,logprob,128,538.1,0.0,654.6
178,sociology,A,C,0,logprob,100,471.4,0.0,654.6
179,high_school_psychology,A,A,1,logprob,79,458.4,0.0,654.6
180,high_school_statistics,B,B,1,logprob,84,452.4,0.0,654.6
181,high_school_european_history,D,D,1,logprob,645,1899.8,0.0,654.6
182,business_ethics,D,D,1,logprob,107,490.0,0.0,654.6
183,high_school_psychology,B,A,0,logprob,109,494.6,0.0,654.6
184,elementary_mathematics,A,A,1,logprob,64,409.0,0.0,654.6
185,moral_disputes,B,B,1,logprob,64,388.1,0.0,654.6
186,high_school_microeconomics,A,A,1,logprob,90,460.4,0.0,654.6
187,high_school_european_history,D,D,1,logprob,263,876.2,0.0,654.6
188,electrical_engineering,B,B,1,logprob,58,371.8,0.0,654.6
189,clinical_knowledge,B,A,0,logprob,105,455.1,0.0,654.6
190,high_school_psychology,C,C,1,logprob,156,611.1,0.0,654.6
191,high_school_mathematics,C,A,0,logprob,113,495.5,0.0,654.6
192,security_studies,B,B,1,logprob,236,791.8,0.0,654.6
193,high_school_psychology,A,A,1,logprob,121,525.5,0.0,654.6
194,moral_scenarios,C,C,1,logprob,136,578.9,0.0,654.6
195,high_school_statistics,D,B,0,logprob,120,491.8,0.0,654.6
196,philosophy,C,C,1,logprob,78,448.3,0.0,654.6
197,miscellaneous,C,C,1,logprob,76,421.5,0.0,654.6
198,professional_psychology,C,C,1,logprob,132,490.2,0.0,654.6
199,logical_fallacies,B,B,1,logprob,64,403.4,0.0,654.6
200,clinical_knowledge,B,B,1,logprob,68,246.9,0.0,620.4
201,logical_fallacies,D,D,1,logprob,114,290.0,0.0,620.4
202,moral_disputes,D,D,1,logprob,74,265.7,0.0,620.4
203,machine_learning,A,C,0,logprob,98,289.8,0.0,620.4
204,miscellaneous,C,B,0,logprob,64,228.6,0.0,620.4
205,professional_law,D,C,0,logprob,164,369.9,0.0,620.4
206,nutrition,D,D,1,logprob,54,231.4,0.0,620.4
207,high_school_statistics,C,D,0,logprob,119,331.3,0.0,620.4
208,miscellaneous,B,B,1,logprob,60,254.7,0.0,620.4
209,high_school_chemistry,B,B,1,logprob,86,297.9,0.0,620.4
210,sociology,C,C,1,logprob,84,309.4,0.0,620.4
211,virology,B,B,1,logprob,72,315.8,0.0,620.4
212,prehistory,C,C,1,logprob,101,354.4,0.0,620.4
213,professional_law,C,C,1,logprob,341,787.9,0.0,620.4
214,moral_scenarios,C,C,1,logprob,134,431.5,0.0,620.4
215,high_school_psychology,D,D,1,logprob,85,382.4,0.0,620.4
216,moral_scenarios,B,A,0,logprob,140,491.9,0.0,620.4
217,high_school_macroeconomics,D,D,1,logprob,101,461.0,0.0,620.4
218,management,B,B,1,logprob,62,364.8,0.0,620.4
219,moral_scenarios,B,C,0,logprob,134,560.8,0.0,620.4
220,world_religions,C,C,1,logprob,62,404.3,0.0,620.4
221,high_school_microeconomics,D,D,1,logprob,100,465.3,0.0,620.4
