n_draft,config,prompt,predicted_n,decode_tps,draft_n,draft_accepted
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.3,1,128,34.33,80,37
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.3,2,128,35.40,85,41
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.5,1,128,34.27,66,35
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.5,2,128,37.52,67,44
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.7,1,128,33.41,43,28
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.7,2,128,35.31,48,35
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.5,1,128,31.90,90,42
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.5,2,128,33.69,104,53
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.7,1,128,32.35,59,35
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.7,2,128,33.30,76,43
1,mtp-gemma-4-E2B-it-Q8_0.gguf draft-mtp,1,128,33.66,89,38
1,mtp-gemma-4-E2B-it-Q8_0.gguf draft-mtp,2,128,36.90,80,46
1,mtp-gemma-4-E2B-it-Q8_0.gguf draft-mtp --spec-draft-p-min 0.5,1,128,32.31,64,30
1,mtp-gemma-4-E2B-it-Q8_0.gguf draft-mtp --spec-draft-p-min 0.5,2,128,37.21,63,44
1,mtp-gemma-4-E2B-it-Q4_0.gguf ngram-simple,1,128,30.37,None,None
1,mtp-gemma-4-E2B-it-Q4_0.gguf ngram-simple,2,128,30.17,None,None
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,ngram-simple,1,128,29.24,150,51
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,ngram-simple,2,128,31.83,137,57
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,ngram-map-k4v,1,128,35.16,86,41
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,ngram-map-k4v,2,128,35.24,86,41
