id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,310.2,0.0,315.1
1,security_studies,D,D,1,logprob,259,705.6,0.0,710.5
2,professional_law,B,A,0,logprob,174,708.0,0.0,710.6
3,international_law,C,C,1,logprob,93,447.1,0.0,449.4
4,professional_medicine,A,A,1,logprob,200,771.8,0.0,774.2
5,high_school_physics,D,B,0,logprob,98,381.1,0.0,383.2
6,virology,A,D,0,logprob,86,370.6,0.0,374.0
7,miscellaneous,B,B,1,logprob,96,348.3,0.0,351.9
8,professional_law,D,B,0,logprob,233,747.5,0.0,750.7
9,high_school_biology,C,C,1,logprob,71,318.3,0.0,322.1
10,us_foreign_policy,B,B,1,logprob,96,299.2,0.0,304.3
11,machine_learning,C,B,0,logprob,99,296.0,0.0,302.4
12,clinical_knowledge,C,C,1,logprob,78,279.1,0.0,285.4
13,professional_law,A,D,0,logprob,420,1008.0,0.0,1017.1
14,high_school_geography,B,B,1,logprob,84,332.6,0.0,338.2
15,business_ethics,C,B,0,logprob,90,309.4,0.0,311.5
16,high_school_physics,C,B,0,logprob,93,262.6,0.0,264.8
17,anatomy,B,B,1,logprob,95,269.5,0.0,271.8
18,medical_genetics,C,C,1,logprob,99,279.4,0.0,281.7
19,moral_scenarios,B,C,0,logprob,131,355.5,0.0,357.6
20,machine_learning,B,B,1,logprob,57,232.8,0.0,235.0
21,high_school_us_history,D,D,1,logprob,378,1109.8,0.0,1115.0
22,formal_logic,D,B,0,logprob,98,354.8,0.0,363.4
23,high_school_us_history,A,A,1,logprob,238,739.6,0.0,748.9
24,high_school_european_history,C,C,1,logprob,211,644.6,0.0,651.4
25,college_biology,C,C,1,logprob,109,383.5,0.0,388.7
26,virology,B,D,0,logprob,78,312.2,0.0,314.4
27,high_school_psychology,A,A,1,logprob,208,605.1,0.0,607.8
28,elementary_mathematics,B,A,0,logprob,93,301.4,0.0,306.6
29,prehistory,B,B,1,logprob,91,281.9,0.0,288.9
30,miscellaneous,B,B,1,logprob,57,212.1,0.0,218.7
31,moral_scenarios,C,B,0,logprob,139,434.2,0.0,438.6
32,anatomy,B,B,1,logprob,109,324.7,0.0,329.3
33,professional_psychology,B,C,0,logprob,61,204.6,0.0,209.2
34,high_school_statistics,D,A,0,logprob,198,617.2,0.0,622.8
35,philosophy,A,B,0,logprob,90,323.0,0.0,329.0
36,professional_law,C,A,0,logprob,423,1189.5,0.0,1194.4
37,professional_accounting,C,B,0,logprob,87,307.3,0.0,310.2
38,high_school_psychology,B,B,1,logprob,158,447.1,0.0,449.3
39,high_school_us_history,A,A,1,logprob,320,820.7,0.0,823.4
40,astronomy,D,B,0,logprob,95,310.2,0.0,312.7
41,professional_medicine,B,D,0,logprob,102,379.8,0.0,381.8
