id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,261.4,0.0,405.4
1,security_studies,D,D,1,logprob,259,405.4,0.0,405.4
2,professional_law,B,A,0,logprob,174,313.8,0.0,405.4
3,international_law,C,C,1,logprob,93,224.1,0.0,405.4
4,professional_medicine,A,B,0,logprob,200,355.0,0.0,405.4
5,high_school_physics,D,B,0,logprob,98,225.7,0.0,405.4
6,virology,A,D,0,logprob,86,220.3,0.0,405.4
7,miscellaneous,B,B,1,logprob,96,223.8,0.0,405.4
8,professional_law,D,B,0,logprob,233,382.7,0.0,405.4
9,high_school_biology,C,C,1,logprob,71,210.5,0.0,405.4
10,us_foreign_policy,B,B,1,logprob,96,224.1,0.0,405.4
11,machine_learning,C,C,1,logprob,99,225.8,0.0,405.4
12,clinical_knowledge,C,C,1,logprob,78,213.3,0.0,405.4
13,professional_law,A,D,0,logprob,420,616.9,0.0,405.4
14,high_school_geography,B,B,1,logprob,84,215.4,0.0,405.4
15,business_ethics,C,B,0,logprob,90,220.6,0.0,405.4
16,high_school_physics,C,B,0,logprob,93,223.4,0.0,405.4
17,anatomy,B,B,1,logprob,95,224.0,0.0,405.4
18,medical_genetics,C,C,1,logprob,99,225.5,0.0,405.4
19,moral_scenarios,B,C,0,logprob,131,259.0,0.0,405.4
20,machine_learning,B,B,1,logprob,57,192.2,0.0,405.4
21,high_school_us_history,D,D,1,logprob,378,556.3,0.0,405.4
22,formal_logic,D,D,1,logprob,98,225.7,0.0,405.4
23,high_school_us_history,A,A,1,logprob,238,385.8,0.0,405.4
24,high_school_european_history,C,C,1,logprob,211,360.3,0.0,405.4
25,college_biology,C,C,1,logprob,109,239.8,0.0,405.4
26,virology,B,A,0,logprob,78,213.4,0.0,405.4
27,high_school_psychology,A,A,1,logprob,208,357.7,0.0,405.4
28,elementary_mathematics,B,B,1,logprob,93,223.6,0.0,405.4
29,prehistory,B,B,1,logprob,91,221.5,0.0,405.4
30,miscellaneous,B,B,1,logprob,57,191.9,0.0,405.4
31,moral_scenarios,C,B,0,logprob,139,274.5,0.0,405.4
32,anatomy,B,B,1,logprob,109,239.2,0.0,405.4
33,professional_psychology,B,C,0,logprob,61,195.7,0.0,405.4
34,high_school_statistics,D,B,0,logprob,198,354.9,0.0,405.4
35,philosophy,A,B,0,logprob,90,221.5,0.0,405.4
36,professional_law,C,A,0,logprob,423,628.7,0.0,405.4
37,professional_accounting,C,B,0,logprob,87,220.2,0.0,405.4
38,high_school_psychology,B,B,1,logprob,158,288.9,0.0,405.4
39,high_school_us_history,A,A,1,logprob,320,474.3,0.0,405.4
40,astronomy,D,B,0,logprob,95,224.6,0.0,405.4
41,professional_medicine,B,D,0,logprob,102,235.7,0.0,405.4
42,professional_medicine,D,D,1,logprob,416,607.4,0.0,405.4
43,moral_scenarios,D,C,0,logprob,143,277.1,0.0,405.4
44,professional_psychology,C,C,1,logprob,94,224.2,0.0,405.4
45,philosophy,D,D,1,logprob,82,215.2,0.0,405.4
46,miscellaneous,C,C,1,logprob,59,193.1,0.0,405.4
47,moral_scenarios,C,C,1,logprob,129,259.2,0.0,405.4
48,nutrition,C,C,1,logprob,63,196.7,0.0,405.4
49,conceptual_physics,C,A,0,logprob,92,221.6,0.0,405.4
50,high_school_geography,D,D,1,logprob,84,221.9,0.0,378.0
51,philosophy,D,B,0,logprob,98,225.5,0.0,378.0
52,high_school_world_history,B,B,1,logprob,344,522.3,0.0,378.0
53,miscellaneous,A,B,0,logprob,60,192.4,0.0,378.0
54,high_school_physics,A,D,0,logprob,231,381.7,0.0,378.0
55,high_school_macroeconomics,D,D,1,logprob,105,236.9,0.0,378.0
56,electrical_engineering,D,C,0,logprob,83,214.9,0.0,378.0
57,sociology,C,C,1,logprob,110,239.7,0.0,378.0
58,high_school_mathematics,D,B,0,logprob,64,195.9,0.0,378.0
59,clinical_knowledge,A,A,1,logprob,78,213.3,0.0,378.0
60,high_school_biology,A,A,1,logprob,85,219.0,0.0,378.0
61,high_school_macroeconomics,B,C,0,logprob,79,214.0,0.0,378.0
62,college_biology,D,D,1,logprob,130,259.3,0.0,378.0
63,marketing,C,C,1,logprob,85,219.2,0.0,378.0
64,moral_disputes,D,A,0,logprob,119,248.2,0.0,378.0
65,moral_scenarios,B,B,1,logprob,132,259.0,0.0,378.0
66,philosophy,D,D,1,logprob,78,212.7,0.0,378.0
67,moral_scenarios,B,C,0,logprob,129,258.8,0.0,378.0
68,college_mathematics,B,A,0,logprob,138,274.3,0.0,378.0
69,elementary_mathematics,A,A,1,logprob,123,249.9,0.0,378.0
70,prehistory,D,B,0,logprob,69,209.4,0.0,378.0
71,professional_medicine,A,A,1,logprob,358,551.4,0.0,378.0
72,professional_psychology,C,A,0,logprob,93,223.8,0.0,378.0
73,conceptual_physics,B,B,1,logprob,61,195.4,0.0,378.0
74,moral_scenarios,D,C,0,logprob,142,276.6,0.0,378.0
75,high_school_government_and_politics,B,B,1,logprob,78,213.4,0.0,378.0
76,professional_accounting,B,B,1,logprob,114,241.0,0.0,378.0
77,professional_psychology,D,D,1,logprob,78,213.5,0.0,378.0
78,formal_logic,C,B,0,logprob,103,236.1,0.0,378.0
79,professional_psychology,A,D,0,logprob,73,210.8,0.0,378.0
80,human_aging,A,D,0,logprob,75,214.9,0.0,378.0
81,logical_fallacies,B,B,1,logprob,157,288.9,0.0,378.0
82,moral_scenarios,C,B,0,logprob,126,257.9,0.0,378.0
83,high_school_government_and_politics,B,D,0,logprob,108,238.0,0.0,378.0
84,miscellaneous,A,A,1,logprob,58,192.4,0.0,378.0
85,professional_accounting,D,C,0,logprob,151,284.3,0.0,378.0
86,elementary_mathematics,B,B,1,logprob,112,239.3,0.0,378.0
87,conceptual_physics,A,B,0,logprob,58,192.6,0.0,378.0
88,high_school_mathematics,C,B,0,logprob,93,223.1,0.0,378.0
89,high_school_geography,B,B,1,logprob,88,219.6,0.0,378.0
90,machine_learning,C,B,0,logprob,153,285.4,0.0,378.0
91,conceptual_physics,A,B,0,logprob,76,211.5,0.0,378.0
92,human_sexuality,D,D,1,logprob,157,288.4,0.0,378.0
93,sociology,D,D,1,logprob,119,248.8,0.0,378.0
94,professional_law,C,C,1,logprob,353,525.9,0.0,378.0
95,conceptual_physics,A,A,1,logprob,77,213.5,0.0,378.0
96,high_school_government_and_politics,A,D,0,logprob,101,236.0,0.0,378.0
