id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,270.0,0.0,280.1
1,security_studies,D,D,1,logprob,259,465.4,0.0,469.4
2,professional_law,B,A,0,logprob,174,358.0,0.0,361.3
3,international_law,C,C,1,logprob,93,209.2,0.0,212.7
4,professional_medicine,A,A,1,logprob,200,407.8,0.0,411.3
5,high_school_physics,D,B,0,logprob,98,210.6,0.0,213.7
6,virology,A,D,0,logprob,86,207.8,0.0,210.7
7,miscellaneous,B,B,1,logprob,96,210.5,0.0,213.7
8,professional_law,D,B,0,logprob,233,459.2,0.0,462.6
9,high_school_biology,C,C,1,logprob,71,207.0,0.0,210.1
10,us_foreign_policy,B,B,1,logprob,96,210.0,0.0,213.0
11,machine_learning,C,B,0,logprob,99,211.0,0.0,213.9
12,clinical_knowledge,C,C,1,logprob,78,206.3,0.0,209.1
13,professional_law,A,D,0,logprob,420,721.5,0.0,725.3
14,high_school_geography,B,B,1,logprob,84,207.4,0.0,211.0
15,business_ethics,C,B,0,logprob,90,210.2,0.0,213.2
16,high_school_physics,C,B,0,logprob,93,210.1,0.0,213.1
17,anatomy,B,B,1,logprob,95,209.9,0.0,212.8
18,medical_genetics,C,C,1,logprob,99,210.4,0.0,213.5
19,moral_scenarios,B,C,0,logprob,131,260.6,0.0,263.7
20,machine_learning,B,B,1,logprob,57,159.1,0.0,162.2
21,high_school_us_history,D,D,1,logprob,378,669.2,0.0,672.7
22,formal_logic,D,B,0,logprob,98,211.5,0.0,215.1
23,high_school_us_history,A,A,1,logprob,238,461.4,0.0,465.0
24,high_school_european_history,C,C,1,logprob,211,411.0,0.0,414.8
25,college_biology,C,C,1,logprob,109,258.4,0.0,261.7
26,virology,B,D,0,logprob,78,206.8,0.0,211.0
27,high_school_psychology,A,A,1,logprob,208,409.7,0.0,413.2
28,elementary_mathematics,B,,0,none,93,209.8,0.0,213.0
29,prehistory,B,B,1,logprob,91,209.9,0.0,212.8
30,miscellaneous,B,B,1,logprob,57,158.2,0.0,161.4
31,moral_scenarios,C,B,0,logprob,139,306.5,0.0,309.7
32,anatomy,B,B,1,logprob,109,257.5,0.0,260.7
33,professional_psychology,B,C,0,logprob,61,158.7,0.0,161.6
34,high_school_statistics,D,A,0,logprob,198,409.1,0.0,412.3
35,philosophy,A,B,0,logprob,90,209.3,0.0,212.5
36,professional_law,C,A,0,logprob,423,769.3,0.0,773.0
37,professional_accounting,C,B,0,logprob,87,209.1,0.0,213.3
38,high_school_psychology,B,B,1,logprob,158,309.4,0.0,312.9
39,high_school_us_history,A,A,1,logprob,320,568.1,0.0,572.2
40,astronomy,D,B,0,logprob,95,210.9,0.0,214.6
41,professional_medicine,B,D,0,logprob,102,257.0,0.0,260.1
42,professional_medicine,D,D,1,logprob,416,722.4,0.0,726.3
43,moral_scenarios,D,C,0,logprob,143,307.8,0.0,312.0
44,professional_psychology,C,C,1,logprob,94,209.0,0.0,212.3
45,philosophy,D,D,1,logprob,82,207.6,0.0,210.9
46,miscellaneous,C,C,1,logprob,59,158.4,0.0,161.6
47,moral_scenarios,C,B,0,logprob,129,260.2,0.0,263.4
48,nutrition,C,C,1,logprob,63,159.9,0.0,162.9
49,conceptual_physics,C,B,0,logprob,92,209.1,0.0,212.1
50,high_school_geography,D,D,1,logprob,84,207.4,0.0,210.5
51,philosophy,D,B,0,logprob,98,210.4,0.0,213.8
52,high_school_world_history,B,B,1,logprob,344,617.2,0.0,621.2
53,miscellaneous,A,D,0,logprob,60,158.2,0.0,162.2
54,high_school_physics,A,D,0,logprob,231,459.7,0.0,463.0
55,high_school_macroeconomics,D,A,0,logprob,105,257.4,0.0,260.9
56,electrical_engineering,D,A,0,logprob,83,208.3,0.0,211.6
57,sociology,C,C,1,logprob,110,258.2,0.0,261.4
58,high_school_mathematics,D,A,0,logprob,64,159.9,0.0,163.0
59,clinical_knowledge,A,A,1,logprob,78,207.6,0.0,210.6
60,high_school_biology,A,A,1,logprob,85,208.7,0.0,212.0
61,high_school_macroeconomics,B,C,0,logprob,79,207.4,0.0,210.5
62,college_biology,D,D,1,logprob,130,260.7,0.0,263.9
63,marketing,C,C,1,logprob,85,209.3,0.0,212.4
64,moral_disputes,D,A,0,logprob,119,259.0,0.0,262.2
65,moral_scenarios,B,B,1,logprob,132,258.7,0.0,262.1
66,philosophy,D,D,1,logprob,78,208.2,0.0,211.6
67,moral_scenarios,B,C,0,logprob,129,260.1,0.0,263.4
68,college_mathematics,B,A,0,logprob,138,307.9,0.0,311.2
69,elementary_mathematics,A,A,1,logprob,123,258.8,0.0,262.1
70,prehistory,D,B,0,logprob,69,207.4,0.0,210.7
71,professional_medicine,A,A,1,logprob,358,665.5,0.0,669.6
72,professional_psychology,C,D,0,logprob,93,210.6,0.0,214.9
73,conceptual_physics,B,B,1,logprob,61,159.2,0.0,162.3
74,moral_scenarios,D,C,0,logprob,142,308.3,0.0,311.9
75,high_school_government_and_politics,B,B,1,logprob,78,207.4,0.0,210.7
76,professional_accounting,B,B,1,logprob,114,257.4,0.0,261.2
77,professional_psychology,D,D,1,logprob,78,207.9,0.0,211.1
78,formal_logic,C,A,0,logprob,103,256.6,0.0,259.8
79,professional_psychology,A,B,0,logprob,73,207.2,0.0,210.4
80,human_aging,A,A,1,logprob,75,207.5,0.0,210.6
81,logical_fallacies,B,C,0,logprob,157,310.8,0.0,314.3
82,moral_scenarios,C,B,0,logprob,126,260.6,0.0,263.9
83,high_school_government_and_politics,B,D,0,logprob,108,256.7,0.0,260.5
84,miscellaneous,A,A,1,logprob,58,157.8,0.0,161.1
85,professional_accounting,D,C,0,logprob,151,309.2,0.0,312.5
86,elementary_mathematics,B,A,0,logprob,112,257.7,0.0,260.9
87,conceptual_physics,A,B,0,logprob,58,158.6,0.0,161.8
88,high_school_mathematics,C,B,0,logprob,93,209.5,0.0,212.5
89,high_school_geography,B,B,1,logprob,88,209.1,0.0,212.4
90,machine_learning,C,B,0,logprob,153,309.1,0.0,312.4
91,conceptual_physics,A,B,0,logprob,76,206.9,0.0,210.3
92,human_sexuality,D,D,1,logprob,157,309.6,0.0,312.7
93,sociology,D,D,1,logprob,119,259.1,0.0,262.8
94,professional_law,C,D,0,logprob,353,619.0,0.0,622.8
95,conceptual_physics,A,C,0,logprob,77,207.2,0.0,211.0
96,high_school_government_and_politics,A,D,0,logprob,101,255.7,0.0,259.1
97,computer_security,A,A,1,logprob,60,158.2,0.0,161.3
98,moral_scenarios,A,B,0,logprob,129,261.2,0.0,264.3
99,moral_scenarios,C,B,0,logprob,131,259.7,0.0,262.8
100,global_facts,B,C,0,logprob,83,208.6,0.0,211.6
101,computer_security,D,D,1,logprob,66,159.9,0.0,162.8
102,conceptual_physics,B,C,0,logprob,68,159.0,0.0,161.8
103,public_relations,C,C,1,logprob,126,260.1,0.0,263.1
104,moral_disputes,A,B,0,logprob,120,258.2,0.0,261.2
105,clinical_knowledge,C,C,1,logprob,72,206.8,0.0,210.2
106,computer_security,C,C,1,logprob,86,209.2,0.0,212.4
107,professional_accounting,D,D,1,logprob,158,311.3,0.0,314.5
108,high_school_psychology,D,D,1,logprob,107,256.8,0.0,260.4
109,high_school_mathematics,D,A,0,logprob,72,206.0,0.0,209.2
110,moral_scenarios,D,C,0,logprob,140,307.3,0.0,310.6
111,professional_psychology,B,A,0,logprob,137,306.5,0.0,309.9
112,clinical_knowledge,C,C,1,logprob,80,208.4,0.0,211.6
113,miscellaneous,D,D,1,logprob,76,207.3,0.0,210.3
114,high_school_us_history,C,B,0,logprob,394,719.0,0.0,722.6
115,moral_scenarios,D,C,0,logprob,133,306.9,0.0,311.2
116,professional_law,C,C,1,logprob,166,357.9,0.0,361.3
117,anatomy,D,B,0,logprob,78,207.2,0.0,210.4
