id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,294.8,0.0,300.9
1,security_studies,D,D,1,logprob,259,504.5,0.0,513.9
2,professional_law,B,B,1,logprob,174,471.1,0.0,477.5
3,international_law,C,C,1,logprob,93,290.4,0.0,295.6
4,professional_medicine,A,B,0,logprob,200,559.1,0.0,567.9
5,high_school_physics,D,B,0,logprob,98,274.0,0.0,278.4
6,virology,A,D,0,logprob,86,272.5,0.0,274.9
7,miscellaneous,B,B,1,logprob,96,269.8,0.0,274.6
8,professional_law,D,B,0,logprob,233,655.2,0.0,659.8
9,high_school_biology,C,C,1,logprob,71,303.0,0.0,306.0
10,us_foreign_policy,B,B,1,logprob,96,292.6,0.0,296.4
11,machine_learning,C,D,0,logprob,99,285.8,0.0,289.0
12,clinical_knowledge,C,C,1,logprob,78,270.5,0.0,272.8
13,professional_law,A,D,0,logprob,420,928.0,0.0,931.0
14,high_school_geography,B,B,1,logprob,84,278.3,0.0,283.1
15,business_ethics,C,B,0,logprob,90,273.6,0.0,278.0
16,high_school_physics,C,B,0,logprob,93,240.9,0.0,243.1
17,anatomy,B,B,1,logprob,95,227.1,0.0,229.1
18,medical_genetics,C,C,1,logprob,99,224.3,0.0,226.3
19,moral_scenarios,B,C,0,logprob,131,321.3,0.0,325.9
20,machine_learning,B,B,1,logprob,57,192.2,0.0,198.8
21,high_school_us_history,D,D,1,logprob,378,893.3,0.0,902.6
22,formal_logic,D,D,1,logprob,98,263.0,0.0,272.1
23,high_school_us_history,A,A,1,logprob,238,575.7,0.0,584.4
24,high_school_european_history,C,C,1,logprob,211,556.8,0.0,566.1
25,college_biology,C,C,1,logprob,109,335.2,0.0,342.4
26,virology,B,D,0,logprob,78,228.5,0.0,232.8
27,high_school_psychology,A,A,1,logprob,208,469.3,0.0,474.7
28,elementary_mathematics,B,B,1,logprob,93,267.4,0.0,275.1
29,prehistory,B,B,1,logprob,91,239.6,0.0,245.0
30,miscellaneous,B,B,1,logprob,57,195.7,0.0,202.3
31,moral_scenarios,C,C,1,logprob,139,434.1,0.0,439.6
32,anatomy,B,C,0,logprob,109,369.0,0.0,375.2
33,professional_psychology,B,C,0,logprob,61,223.7,0.0,226.4
34,high_school_statistics,D,B,0,logprob,198,568.5,0.0,573.3
35,philosophy,A,C,0,logprob,90,293.2,0.0,301.0
36,professional_law,C,A,0,logprob,423,944.3,0.0,953.0
37,professional_accounting,C,B,0,logprob,87,258.8,0.0,265.5
38,high_school_psychology,B,B,1,logprob,158,400.1,0.0,405.6
39,high_school_us_history,A,A,1,logprob,320,844.3,0.0,853.1
40,astronomy,D,B,0,logprob,95,344.6,0.0,352.6
41,professional_medicine,B,D,0,logprob,102,405.6,0.0,411.2
42,professional_medicine,D,D,1,logprob,416,1119.6,0.0,1128.1
43,moral_scenarios,D,C,0,logprob,143,498.8,0.0,503.0
44,professional_psychology,C,C,1,logprob,94,316.4,0.0,318.5
45,philosophy,D,D,1,logprob,82,302.2,0.0,304.5
46,miscellaneous,C,C,1,logprob,59,235.3,0.0,237.3
47,moral_scenarios,C,C,1,logprob,129,394.5,0.0,396.4
48,nutrition,C,C,1,logprob,63,237.3,0.0,240.3
49,conceptual_physics,C,A,0,logprob,92,308.9,0.0,311.4
50,high_school_geography,D,D,1,logprob,84,303.0,0.0,305.4
51,philosophy,D,B,0,logprob,98,303.9,0.0,306.2
52,high_school_world_history,B,B,1,logprob,344,887.1,0.0,889.7
53,miscellaneous,A,C,0,logprob,60,215.5,0.0,218.5
54,high_school_physics,A,D,0,logprob,231,626.1,0.0,630.5
55,high_school_macroeconomics,D,D,1,logprob,105,345.3,0.0,351.4
56,electrical_engineering,D,A,0,logprob,83,275.0,0.0,281.5
57,sociology,C,C,1,logprob,110,316.9,0.0,321.6
58,high_school_mathematics,D,B,0,logprob,64,193.6,0.0,195.7
59,clinical_knowledge,A,A,1,logprob,78,255.7,0.0,257.7
60,high_school_biology,A,A,1,logprob,85,256.1,0.0,258.4
61,high_school_macroeconomics,B,A,0,logprob,79,257.2,0.0,259.1
62,college_biology,D,D,1,logprob,130,323.1,0.0,325.1
63,marketing,C,C,1,logprob,85,257.4,0.0,259.5
64,moral_disputes,D,A,0,logprob,119,326.7,0.0,328.7
65,moral_scenarios,B,B,1,logprob,132,328.3,0.0,330.5
66,philosophy,D,D,1,logprob,78,259.0,0.0,261.0
67,moral_scenarios,B,A,0,logprob,129,330.1,0.0,332.9
68,college_mathematics,B,A,0,logprob,138,387.6,0.0,392.6
69,elementary_mathematics,A,A,1,logprob,123,322.8,0.0,329.3
70,prehistory,D,B,0,logprob,69,258.3,0.0,264.7
71,professional_medicine,A,A,1,logprob,358,821.8,0.0,829.6
72,professional_psychology,C,C,1,logprob,93,230.0,0.0,237.7
73,conceptual_physics,B,B,1,logprob,61,196.2,0.0,202.6
74,moral_scenarios,D,C,0,logprob,142,401.6,0.0,409.2
75,high_school_government_and_politics,B,B,1,logprob,78,264.3,0.0,270.5
76,professional_accounting,B,B,1,logprob,114,304.9,0.0,311.5
77,professional_psychology,D,D,1,logprob,78,235.8,0.0,243.4
78,formal_logic,C,B,0,logprob,103,310.0,0.0,314.6
79,professional_psychology,A,B,0,logprob,73,256.8,0.0,259.1
80,human_aging,A,D,0,logprob,75,258.4,0.0,260.4
81,logical_fallacies,B,B,1,logprob,157,413.8,0.0,415.9
82,moral_scenarios,C,B,0,logprob,126,333.7,0.0,335.7
83,high_school_government_and_politics,B,D,0,logprob,108,382.7,0.0,385.0
84,miscellaneous,A,A,1,logprob,58,237.2,0.0,239.2
85,professional_accounting,D,C,0,logprob,151,438.7,0.0,441.9
86,elementary_mathematics,B,B,1,logprob,112,383.8,0.0,389.3
87,conceptual_physics,A,B,0,logprob,58,223.2,0.0,230.4
88,high_school_mathematics,C,B,0,logprob,93,295.3,0.0,300.5
89,high_school_geography,B,B,1,logprob,88,284.2,0.0,291.9
90,machine_learning,C,B,0,logprob,153,398.5,0.0,405.1
91,conceptual_physics,A,B,0,logprob,76,265.5,0.0,271.9
92,human_sexuality,D,D,1,logprob,157,385.9,0.0,392.9
93,sociology,D,D,1,logprob,119,332.3,0.0,338.9
94,professional_law,C,C,1,logprob,353,736.3,0.0,744.7
95,conceptual_physics,A,A,1,logprob,77,265.9,0.0,275.1
96,high_school_government_and_politics,A,A,1,logprob,101,333.9,0.0,342.2
97,computer_security,A,A,1,logprob,60,209.6,0.0,215.6
98,moral_scenarios,A,C,0,logprob,129,299.4,0.0,306.9
99,moral_scenarios,C,C,1,logprob,131,322.0,0.0,328.6
100,global_facts,B,C,0,logprob,83,267.8,0.0,274.5
101,computer_security,D,D,1,logprob,66,207.7,0.0,214.8
102,conceptual_physics,B,C,0,logprob,68,204.6,0.0,209.8
103,public_relations,C,C,1,logprob,126,331.0,0.0,336.4
104,moral_disputes,A,B,0,logprob,120,323.9,0.0,330.1
105,clinical_knowledge,C,C,1,logprob,72,271.6,0.0,277.3
106,computer_security,C,C,1,logprob,86,277.0,0.0,283.6
107,professional_accounting,D,B,0,logprob,158,412.3,0.0,419.5
108,high_school_psychology,D,D,1,logprob,107,322.4,0.0,328.6
109,high_school_mathematics,D,B,0,logprob,72,236.4,0.0,242.9
110,moral_scenarios,D,C,0,logprob,140,379.6,0.0,386.9
