id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,402.2,0.0,405.5
1,security_studies,D,D,1,logprob,259,472.9,0.0,477.2
2,professional_law,B,B,1,logprob,174,363.2,0.0,367.4
3,international_law,C,C,1,logprob,93,212.4,0.0,214.8
4,professional_medicine,A,C,0,logprob,200,414.5,0.0,417.3
5,high_school_physics,D,B,0,logprob,98,215.5,0.0,219.2
6,virology,A,D,0,logprob,86,215.4,0.0,221.2
7,miscellaneous,B,B,1,logprob,96,214.8,0.0,218.8
8,professional_law,D,B,0,logprob,233,463.8,0.0,466.7
9,high_school_biology,C,C,1,logprob,71,211.7,0.0,215.2
10,us_foreign_policy,B,B,1,logprob,96,219.6,0.0,224.3
11,machine_learning,C,D,0,logprob,99,219.2,0.0,224.8
12,clinical_knowledge,C,C,1,logprob,78,214.9,0.0,220.4
13,professional_law,A,D,0,logprob,420,818.7,0.0,824.3
14,high_school_geography,B,B,1,logprob,84,209.9,0.0,212.3
15,business_ethics,C,B,0,logprob,90,211.7,0.0,213.6
16,high_school_physics,C,B,0,logprob,93,212.5,0.0,214.8
17,anatomy,B,B,1,logprob,95,218.1,0.0,223.0
18,medical_genetics,C,C,1,logprob,99,220.1,0.0,227.1
19,moral_scenarios,B,C,0,logprob,131,274.0,0.0,280.6
20,machine_learning,B,B,1,logprob,57,168.0,0.0,174.3
21,high_school_us_history,D,D,1,logprob,378,683.7,0.0,690.9
22,formal_logic,D,D,1,logprob,98,223.1,0.0,231.4
23,high_school_us_history,A,A,1,logprob,238,475.9,0.0,483.5
24,high_school_european_history,C,C,1,logprob,211,423.3,0.0,431.0
25,college_biology,C,C,1,logprob,109,269.4,0.0,276.2
26,virology,B,D,0,logprob,78,216.8,0.0,223.1
27,high_school_psychology,A,A,1,logprob,208,425.6,0.0,432.5
28,elementary_mathematics,B,B,1,logprob,93,219.7,0.0,226.2
29,prehistory,B,B,1,logprob,91,218.3,0.0,224.5
30,miscellaneous,B,B,1,logprob,57,166.2,0.0,172.6
31,moral_scenarios,C,C,1,logprob,139,315.7,0.0,320.4
32,anatomy,B,C,0,logprob,109,259.5,0.0,262.0
33,professional_psychology,B,C,0,logprob,61,161.6,0.0,164.1
34,high_school_statistics,D,B,0,logprob,198,418.1,0.0,423.0
35,philosophy,A,C,0,logprob,90,221.0,0.0,228.2
36,professional_law,C,C,1,logprob,423,790.2,0.0,798.8
37,professional_accounting,C,B,0,logprob,87,217.4,0.0,227.0
38,high_school_psychology,B,B,1,logprob,158,322.3,0.0,329.0
39,high_school_us_history,A,A,1,logprob,320,583.9,0.0,592.1
40,astronomy,D,B,0,logprob,95,220.5,0.0,228.1
41,professional_medicine,B,D,0,logprob,102,262.4,0.0,266.8
42,professional_medicine,D,D,1,logprob,416,728.8,0.0,731.7
43,moral_scenarios,D,C,0,logprob,143,311.7,0.0,314.8
44,professional_psychology,C,C,1,logprob,94,216.6,0.0,221.2
45,philosophy,D,D,1,logprob,82,218.5,0.0,224.7
46,miscellaneous,C,C,1,logprob,59,163.8,0.0,168.0
47,moral_scenarios,C,C,1,logprob,129,270.9,0.0,276.0
48,nutrition,C,C,1,logprob,63,168.6,0.0,175.0
49,conceptual_physics,C,A,0,logprob,92,220.0,0.0,226.5
50,high_school_geography,D,D,1,logprob,84,217.6,0.0,224.5
51,philosophy,D,B,0,logprob,98,221.5,0.0,228.4
52,high_school_world_history,B,B,1,logprob,344,634.4,0.0,642.2
53,miscellaneous,A,C,0,logprob,60,169.4,0.0,178.2
54,high_school_physics,A,D,0,logprob,231,475.2,0.0,482.7
55,high_school_macroeconomics,D,D,1,logprob,105,269.3,0.0,277.1
56,electrical_engineering,D,C,0,logprob,83,219.6,0.0,226.6
57,sociology,C,C,1,logprob,110,270.6,0.0,277.7
58,high_school_mathematics,D,B,0,logprob,64,169.4,0.0,175.7
59,clinical_knowledge,A,A,1,logprob,78,217.7,0.0,223.7
60,high_school_biology,A,A,1,logprob,85,220.7,0.0,227.2
