id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,364.5,0.0,417.6
1,security_studies,D,D,1,logprob,259,484.2,0.0,490.2
2,professional_law,B,A,0,logprob,174,371.8,0.0,375.8
3,international_law,C,C,1,logprob,93,217.9,0.0,222.1
4,professional_medicine,A,B,0,logprob,200,424.7,0.0,428.9
5,high_school_physics,D,B,0,logprob,98,217.4,0.0,221.2
6,virology,A,D,0,logprob,86,216.1,0.0,219.7
7,miscellaneous,B,B,1,logprob,96,219.9,0.0,223.4
8,professional_law,D,B,0,logprob,233,479.9,0.0,486.4
9,high_school_biology,C,C,1,logprob,71,223.5,0.0,234.7
10,us_foreign_policy,B,B,1,logprob,96,225.5,0.0,235.8
11,machine_learning,C,B,0,logprob,99,228.5,0.0,240.6
12,clinical_knowledge,C,C,1,logprob,78,222.0,0.0,233.4
13,professional_law,A,D,0,logprob,420,779.9,0.0,788.6
14,high_school_geography,B,B,1,logprob,84,216.9,0.0,224.7
15,business_ethics,C,B,0,logprob,90,227.4,0.0,235.0
16,high_school_physics,C,B,0,logprob,93,221.5,0.0,228.8
17,anatomy,B,B,1,logprob,95,221.7,0.0,226.6
18,medical_genetics,C,C,1,logprob,99,222.9,0.0,229.9
19,moral_scenarios,B,C,0,logprob,131,275.4,0.0,282.5
20,machine_learning,B,B,1,logprob,57,166.8,0.0,173.0
21,high_school_us_history,D,D,1,logprob,378,705.2,0.0,719.4
22,formal_logic,D,B,0,logprob,98,225.8,0.0,242.8
23,high_school_us_history,A,A,1,logprob,238,487.8,0.0,499.2
24,high_school_european_history,C,C,1,logprob,211,432.2,0.0,442.4
25,college_biology,C,C,1,logprob,109,270.9,0.0,282.9
26,virology,B,B,1,logprob,78,217.7,0.0,222.6
27,high_school_psychology,A,A,1,logprob,208,434.6,0.0,443.4
28,elementary_mathematics,B,,0,none,93,223.5,0.0,230.7
29,prehistory,B,B,1,logprob,91,224.9,0.0,234.5
30,miscellaneous,B,B,1,logprob,57,169.5,0.0,176.1
31,moral_scenarios,C,C,1,logprob,139,322.0,0.0,329.9
32,anatomy,B,B,1,logprob,109,271.3,0.0,281.0
33,professional_psychology,B,C,0,logprob,61,169.1,0.0,174.6
34,high_school_statistics,D,B,0,logprob,198,432.1,0.0,437.7
35,philosophy,A,B,0,logprob,90,222.8,0.0,230.5
36,professional_law,C,A,0,logprob,423,829.2,0.0,846.0
37,professional_accounting,C,B,0,logprob,87,223.7,0.0,235.1
38,high_school_psychology,B,B,1,logprob,158,332.8,0.0,339.4
39,high_school_us_history,A,A,1,logprob,320,615.9,0.0,632.7
40,astronomy,D,B,0,logprob,95,228.5,0.0,241.8
41,professional_medicine,B,D,0,logprob,102,276.0,0.0,287.9
42,professional_medicine,D,D,1,logprob,416,789.3,0.0,802.8
43,moral_scenarios,D,C,0,logprob,143,333.5,0.0,348.0
44,professional_psychology,C,C,1,logprob,94,224.5,0.0,232.9
45,philosophy,D,D,1,logprob,82,222.5,0.0,229.3
46,miscellaneous,C,C,1,logprob,59,170.9,0.0,185.5
47,moral_scenarios,C,C,1,logprob,129,280.6,0.0,293.3
48,nutrition,C,C,1,logprob,63,171.3,0.0,183.2
49,conceptual_physics,C,B,0,logprob,92,227.1,0.0,238.2
50,high_school_geography,D,D,1,logprob,84,224.5,0.0,236.8
51,philosophy,D,B,0,logprob,98,227.1,0.0,239.6
52,high_school_world_history,B,B,1,logprob,344,680.6,0.0,695.4
53,miscellaneous,A,D,0,logprob,60,169.9,0.0,185.0
54,high_school_physics,A,D,0,logprob,231,501.3,0.0,508.8
55,high_school_macroeconomics,D,C,0,logprob,105,280.1,0.0,287.2
56,electrical_engineering,D,B,0,logprob,83,226.0,0.0,234.8
57,sociology,C,C,1,logprob,110,277.2,0.0,281.7
58,high_school_mathematics,D,B,0,logprob,64,171.1,0.0,178.1
59,clinical_knowledge,A,A,1,logprob,78,222.8,0.0,229.0
60,high_school_biology,A,A,1,logprob,85,221.8,0.0,226.6
61,high_school_macroeconomics,B,B,1,logprob,79,222.3,0.0,226.2
62,college_biology,D,D,1,logprob,130,282.3,0.0,286.3
63,marketing,C,C,1,logprob,85,226.3,0.0,231.3
64,moral_disputes,D,A,0,logprob,119,282.4,0.0,289.7
65,moral_scenarios,B,C,0,logprob,132,282.3,0.0,294.8
66,philosophy,D,D,1,logprob,78,223.7,0.0,239.7
67,moral_scenarios,B,A,0,logprob,129,273.5,0.0,283.1
68,college_mathematics,B,A,0,logprob,138,328.1,0.0,334.5
69,elementary_mathematics,A,A,1,logprob,123,282.6,0.0,293.6
70,prehistory,D,B,0,logprob,69,222.5,0.0,234.3
71,professional_medicine,A,A,1,logprob,358,737.8,0.0,751.1
72,professional_psychology,C,A,0,logprob,93,229.5,0.0,246.5
73,conceptual_physics,B,B,1,logprob,61,170.8,0.0,180.8
74,moral_scenarios,D,C,0,logprob,142,338.5,0.0,349.1
75,high_school_government_and_politics,B,B,1,logprob,78,228.3,0.0,240.0
76,professional_accounting,B,B,1,logprob,114,282.3,0.0,293.1
77,professional_psychology,D,D,1,logprob,78,230.2,0.0,239.7
78,formal_logic,C,B,0,logprob,103,281.2,0.0,291.6
79,professional_psychology,A,B,0,logprob,73,227.7,0.0,235.4
80,human_aging,A,D,0,logprob,75,226.5,0.0,237.7
81,logical_fallacies,B,B,1,logprob,157,345.7,0.0,358.3
82,moral_scenarios,C,B,0,logprob,126,290.6,0.0,303.5
83,high_school_government_and_politics,B,D,0,logprob,108,283.5,0.0,297.8
84,miscellaneous,A,A,1,logprob,58,173.2,0.0,183.5
85,professional_accounting,D,B,0,logprob,151,346.8,0.0,358.5
86,elementary_mathematics,B,A,0,logprob,112,292.4,0.0,302.2
87,conceptual_physics,A,B,0,logprob,58,176.6,0.0,183.7
88,high_school_mathematics,C,B,0,logprob,93,234.8,0.0,241.9
89,high_school_geography,B,B,1,logprob,88,234.5,0.0,244.4
90,machine_learning,C,B,0,logprob,153,355.6,0.0,367.5
91,conceptual_physics,A,B,0,logprob,76,236.8,0.0,249.3
92,human_sexuality,D,D,1,logprob,157,358.1,0.0,370.5
93,sociology,D,D,1,logprob,119,299.4,0.0,312.5
94,professional_law,C,D,0,logprob,353,743.5,0.0,756.5
95,conceptual_physics,A,A,1,logprob,77,250.5,0.0,257.6
96,high_school_government_and_politics,A,A,1,logprob,101,308.7,0.0,317.5
97,computer_security,A,A,1,logprob,60,189.5,0.0,199.8
98,moral_scenarios,A,C,0,logprob,129,303.7,0.0,311.0
99,moral_scenarios,C,C,1,logprob,131,309.4,0.0,313.6
100,global_facts,B,C,0,logprob,83,252.0,0.0,254.9
101,computer_security,D,D,1,logprob,66,192.1,0.0,195.2
102,conceptual_physics,B,C,0,logprob,68,188.6,0.0,192.1
103,public_relations,C,C,1,logprob,126,321.4,0.0,327.6
104,moral_disputes,A,B,0,logprob,120,315.1,0.0,322.5
105,clinical_knowledge,C,C,1,logprob,72,260.8,0.0,267.6
106,computer_security,C,C,1,logprob,86,265.0,0.0,276.1
107,professional_accounting,D,B,0,logprob,158,388.8,0.0,398.9
108,high_school_psychology,D,D,1,logprob,107,316.6,0.0,328.1
109,high_school_mathematics,D,B,0,logprob,72,259.0,0.0,270.8
110,moral_scenarios,D,B,0,logprob,140,385.1,0.0,393.9
111,professional_psychology,B,A,0,logprob,137,394.4,0.0,406.1
112,clinical_knowledge,C,C,1,logprob,80,265.5,0.0,274.7
113,miscellaneous,D,D,1,logprob,76,264.9,0.0,276.3
114,high_school_us_history,C,B,0,logprob,394,938.3,0.0,952.0
115,moral_scenarios,D,C,0,logprob,133,401.7,0.0,416.0
116,professional_law,C,C,1,logprob,166,464.1,0.0,471.1
117,anatomy,D,B,0,logprob,78,269.8,0.0,277.7
118,philosophy,A,D,0,logprob,89,263.5,0.0,271.3
